Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Month,Year,Month,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Total attendance,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Total Attendance over 4hrs,Patients who have waited 4-12 hs from DTA to admission
0,4954,0,0,1464,4/1/2018,2018,Apr,16021,0,3316,19337,3629,0,0,3629,1038
0,4457,0,0,284,4/1/2018,2018,Apr,12477,0,11782,24259,2690,0,323,3013,468
0,0,0,3,2,4/1/2018,2018,Apr,0,0,10456,10456,0,0,182,182,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2474,2474,0,0,0,0,0
0,0,0,0,303,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,0,100,0,35,4/1/2018,2018,Apr,0,1059,0,1059,0,18,0,18,0
1,5620,0,0,732,4/1/2018,2018,Apr,11537,0,16123,27660,3087,0,178,3265,623
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4105,4105,0,0,116,116,0
0,2656,0,0,1202,4/1/2018,2018,Apr,8148,0,3518,11666,167,0,0,167,0
0,3913,0,0,348,4/1/2018,2018,Apr,12049,0,1959,14008,1013,0,1,1014,320
0,6110,175,170,1149,4/1/2018,2018,Apr,20433,3481,9213,33127,3712,72,25,3809,961
0,0,0,0,0,4/1/2018,2018,Apr,0,0,356,356,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,637,637,0,0,14,14,0
1,2276,0,0,922,4/1/2018,2018,Apr,7796,0,2474,10270,2247,0,0,2247,904
0,0,0,0,0,4/1/2018,2018,Apr,0,0,568,568,0,0,17,17,0
0,0,0,0,200,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,2077,0,0,898,4/1/2018,2018,Apr,5286,0,1890,7176,1235,0,9,1244,0
1,2113,0,0,790,4/1/2018,2018,Apr,8280,0,403,8683,1266,0,7,1273,271
0,3867,0,135,1000,4/1/2018,2018,Apr,17349,0,2609,19958,2160,0,18,2178,808
0,1573,0,0,1080,4/1/2018,2018,Apr,7244,0,4739,11983,474,0,5,479,72
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1735,1735,0,0,0,0,0
0,0,19,0,191,4/1/2018,2018,Apr,0,7885,0,7885,0,266,0,266,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,349,349,0,0,0,0,0
0,2820,0,0,1911,4/1/2018,2018,Apr,8668,0,2441,11109,1912,0,72,1984,472
0,2536,0,0,1659,4/1/2018,2018,Apr,7429,0,0,7429,1261,0,0,1261,373
0,2023,0,0,916,4/1/2018,2018,Apr,7700,0,1712,9412,1279,0,5,1284,469
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4932,4932,0,0,16,16,0
0,2416,0,0,313,4/1/2018,2018,Apr,8138,386,5519,14043,2220,7,151,2378,336
0,1514,0,643,2140,4/1/2018,2018,Apr,3693,0,10624,14317,306,0,16,322,38
0,3494,0,1,987,4/1/2018,2018,Apr,11573,0,720,12293,2179,0,0,2179,171
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1723,1723,0,0,0,0,0
0,2520,0,0,973,4/1/2018,2018,Apr,7991,1053,1351,10395,1114,27,0,1141,290
0,1043,0,0,575,4/1/2018,2018,Apr,3814,0,925,4739,724,0,0,724,163
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4532,4532,0,0,154,154,0
0,2796,0,0,474,4/1/2018,2018,Apr,11418,0,0,11418,1680,0,0,1680,190
0,3947,0,27,691,4/1/2018,2018,Apr,8322,0,8477,16799,176,0,19,195,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4449,4449,0,0,47,47,0
0,3970,0,0,2738,4/1/2018,2018,Apr,11825,1556,2783,16164,3407,12,49,3468,637
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2164,2164,0,0,14,14,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,252,252,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,255,255,0,0,9,9,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2653,2653,0,0,60,60,0
0,3003,82,23,3220,4/1/2018,2018,Apr,10416,1366,367,12149,1661,0,4,1665,334
0,0,0,0,0,4/1/2018,2018,Apr,0,0,858,858,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,288,288,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,673,673,0,0,1,1,0
1,6445,0,138,1499,4/1/2018,2018,Apr,21486,0,9796,31282,3683,0,173,3856,491
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3499,3499,0,0,0,0,0
0,1692,0,0,1379,4/1/2018,2018,Apr,5526,0,1716,7242,1074,0,1,1075,144
0,3317,2,2,1415,4/1/2018,2018,Apr,9267,736,1920,11923,1863,0,3,1866,621
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2310,2310,0,0,0,0,0
0,0,0,33,409,4/1/2018,2018,Apr,0,0,923,923,0,0,2,2,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1095,1095,0,0,0,0,0
0,2913,0,0,442,4/1/2018,2018,Apr,8870,1490,953,11313,712,47,0,759,94
0,0,0,0,291,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,2685,0,33,1036,4/1/2018,2018,Apr,6014,0,11044,17058,355,0,67,422,49
0,1878,0,0,1453,4/1/2018,2018,Apr,7396,0,3891,11287,666,0,1,667,71
0,4073,0,0,570,4/1/2018,2018,Apr,18962,0,3228,22190,2697,0,0,2697,786
0,2501,48,0,961,4/1/2018,2018,Apr,7638,1840,9779,19257,2148,33,0,2181,408
0,0,0,0,14,4/1/2018,2018,Apr,0,0,0,0,0,0,0,0,0
0,2267,0,6,328,4/1/2018,2018,Apr,5926,0,57,5983,831,0,3,834,8
0,2501,0,33,960,4/1/2018,2018,Apr,6176,0,974,7150,1375,0,6,1381,4
0,2646,0,0,421,4/1/2018,2018,Apr,8069,0,666,8735,1530,0,0,1530,498
0,1195,0,0,671,4/1/2018,2018,Apr,3887,310,0,4197,290,0,0,290,75
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1597,1597,0,0,0,0,0
0,3231,32,0,511,4/1/2018,2018,Apr,12994,1209,2872,17075,2730,17,0,2747,164
0,624,0,0,323,4/1/2018,2018,Apr,4428,0,49,4477,103,0,0,103,0
0,2770,0,0,2881,4/1/2018,2018,Apr,8847,1054,7758,17659,2617,0,0,2617,663
